district_lgd,district_name,state_code,state_name
603,Nicobars,35,Andaman And Nicobar Islands
632,North And Middle Andaman,35,Andaman And Nicobar Islands
602,South Andamans,35,Andaman And Nicobar Islands
745,Alluri Sitharama Raju Alluri Sitharama Raju,28,Andhra Pradesh
744,Anakapalli Anakapalli,28,Andhra Pradesh
502,Ananthapuramu,28,Andhra Pradesh
753,Annamayya Annamayya,28,Andhra Pradesh
750,Bapatla Bapatla,28,Andhra Pradesh
503,Chittoor,28,Andhra Pradesh
755,Nandyal Nandyal,28,Andhra Pradesh
517,Prakasam,28,Andhra Pradesh
229,Changlang,12,Arunachal Pradesh
623,Bandipora,39,1 Jammu And Kashmir
677,Kra Daadi,12,Arunachal Pradesh
192,Bhagalpur,10,Bihar
193,Bhojpur,10,Bihar
194,Buxar,10,Bihar
195,Darbhanga,10,Bihar
196,Gaya,10,Bihar
197,Gopalganj,10,Bihar
198,Jamui,10,Bihar
199,Jehanabad,10,Bihar
200,Kaimur (Bhabua) (  ),10,Bihar
201,Katihar,10,Bihar
202,Khagaria,10,Bihar
203,Kishanganj,10,Bihar
204,Lakhisarai,10,Bihar
205,Madhepura,10,Bihar
206,Madhubani,10,Bihar
207,Munger,10,Bihar
208,Muzaffarpur,10,Bihar
209,Nalanda,10,Bihar
210,Nawada,10,Bihar
211,Pashchim Champaran,10,Bihar
212,Patna,10,Bihar
213,Purbi Champaran,10,Bihar
214,Purnia,10,Bihar
215,Rohtas,10,Bihar
216,Saharsa,10,Bihar
217,Samastipur,10,Bihar
218,Saran,10,Bihar
219,Sheikhpura,10,Bihar
220,Sheohar,10,Bihar
221,Sitamarhi,10,Bihar
222,Siwan,10,Bihar
223,Supaul,10,Bihar
224,Vaishali,10,Bihar
646,Balod,22,Chhattisgarh
644,Balodabazar-Bhatapara -,22,Chhattisgarh
649,Balrampur-Ramanujganj -,22,Chhattisgarh
374,Bastar,22,Chhattisgarh
650,Bemetara,22,Chhattisgarh
636,Bijapur,22,Chhattisgarh
375,Bilaspur,22,Chhattisgarh
376,Dakshin Bastar Dantewada,22,Chhattisgarh
377,Dhamtari,22,Chhattisgarh
378,Durg,22,Chhattisgarh
645,Gariyaband,22,Chhattisgarh
734,Gaurela-Pendra-Marwahi -,22,Chhattisgarh
379,Janjgir-Champa,22,Chhattisgarh
380,Jashpur,22,Chhattisgarh
382,Kabeerdham,22,Chhattisgarh
759,Khairagarh-Chhuikhadan- Gandai,22,Chhattisgarh
643,Kondagaon,22,Chhattisgarh
383,Korba,22,Chhattisgarh
384,Korea,22,Chhattisgarh
385,Mahasamund,22,Chhattisgarh
760,Manendragarh-Chirmiri- Bharatpur(M C B),22,Chhattisgarh
761,Mohla-Manpur-Ambagarh Chouki,22,Chhattisgarh
647,Mungeli,22,Chhattisgarh
637,Narayanpur,22,Chhattisgarh
386,Raigarh,22,Chhattisgarh
387,Raipur,22,Chhattisgarh
388,Rajnandgaon,22,Chhattisgarh
762,Sakti,22,Chhattisgarh
763,Sarangarh-Bilaigarh -,22,Chhattisgarh
642,Sukma,22,Chhattisgarh
648,Surajpur,22,Chhattisgarh
389,Surguja,22,Chhattisgarh
381,Uttar Bastar Kanker,22,Chhattisgarh
793,Kushavati Kushavati,30,Goa
551,North Goa,30,Goa
552,South Goa,30,Goa
