lgd_code,name_en,name_local,state_or_ut,census_2001,census_2011
35,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR,State,,
28,Andhra Pradesh,ANDHRA PRADESH,State,28,28
12,Arunachal Pradesh,ARUNACHAL PRADESH,State,12,12
18,Assam,ASSAM,State,18,18
10,Bihar,BIHAR,State,10,10
04,Chandigarh,CHANDIGARH,UT,04,04
22,Chhattisgarh State,,State,22,22
07,Delhi,DELHI,UT,07,07
30,Goa,GOA,State,30,30
24,Gujarat,GUJARAT,State,24,24
06,Haryana,HARYANA,State,06,06
02,Himachal Pradesh,HIMACHAL PRADESH,State,02,02
01,Jammu And Kashmir,JAMMU AND KASHMIR,UT,01,01
20,Jharkhand State,,State,20,20
29,Karnataka State,,State,29,29
32,Kerala,KERALA,State,32,32
37,Ladakh Ladakh,UT,State,00,18
08,Rajasthan,RAJASTHAN,State,08,08
11,Sikkim,SIKKIM,State,11,11
33,Tamil Nadu,TAMIL NADU,State,33,33
36,Telangana State,,State,00,32
16,Tripura State,,State,16,16
05,Uttarakhand,UTTARAKHAND,State,05,05
09,Uttar Pradesh,UTTAR PRADESH,State,09,09
19,West Bengal,WEST BENGAL,State,19,19
