code,code_type,label,family,sector,synonyms
6111.0100,NCO,Cultivator - General,Field Crop and Vegetable Growers,Agriculture,cultivator|field|general|vegetable
6111.0200,NCO,Cultivator - Crop,Field Crop and Vegetable Growers,Agriculture,crop|cultivator|field|vegetable
6111.0601,NCO,Cultivator - Cotton,Field Crop and Vegetable Growers,Agriculture,cotton|cultivator|field|vegetable
6111.0800,NCO,Cultivator - Fruit (Horticulturist),Field Crop and Vegetable Growers,Agriculture,cultivator|field|fruit (horticulturist)|vegetable
6111.1300,NCO,Cultivator - Vegetables,Field Crop and Vegetable Growers,Agriculture,cultivator|field|vegetable|vegetables
6112.0201,NCO,Toddy Tapper,Tree and Shrub Crop Growers,Agriculture,shrub
6112.0501,NCO,Tea Plantation Worker,Tree and Shrub Crop Growers,Agriculture,shrub
6112.0601,NCO,Coffee Plantation Worker,Tree and Shrub Crop Growers,Agriculture,shrub
6112.0701,NCO,Bamboo Grower,Tree and Shrub Crop Growers,Agriculture,shrub
7315.1000,NCO,Bead Maker (Glass),Glass Makers; Cutters; Grinders and Finishers,Capital Goods & Manufacturing,cutters|finishers|glass|grinders
7315.1100,NCO,Optical Worker,Glass Makers; Cutters; Grinders and Finishers,Capital Goods & Manufacturing,cutters|finishers|glass|grinders
7315.1800,NCO,Glass Bangles Maker,Glass Makers; Cutters; Grinders and Finishers,Capital Goods & Manufacturing,cutters|finishers|glass|grinders
7412.0203,NCO,Iron & Steel - Fitter Electrical Assembly,Electrical Mechanics and Fitters,Capital Goods & Manufacturing,electrical|fitter electrical assembly|iron & steel|mechanics
8122.6700,NCO,Picker,Metal Finishing; Plating and Coating Machine Operators,Capital Goods & Manufacturing,coating|finishing|machine|metal|plating
8131.4200,NCO,Box Making Machine Operator (Match),Chemical Products Plant and Machine Operators,Capital Goods & Manufacturing,chemical|machine|plant|products
8131.4300,NCO,Box Filling Machine Operator (Match),Chemical Products Plant and Machine Operators,Capital Goods & Manufacturing,chemical|machine|plant|products
8131.6200,NCO,Rubber Worker,Chemical Products Plant and Machine Operators,Capital Goods & Manufacturing,chemical|machine|plant|products
8131.8800,NCO,Agarbati Maker,Chemical Products Plant and Machine Operators,Capital Goods & Manufacturing,chemical|machine|plant|products
8131.8900,NCO,Pencil Maker,Chemical Products Plant and Machine Operators,Capital Goods & Manufacturing,chemical|machine|plant|products
8142.1400,NCO,Moulder; Hand (Plastic),Plastic Products Machine Operators,Capital Goods & Manufacturing,machine|plastic|products
8143.0100,NCO,Cardboard Box Maker,Paper Products Machine Operators,Capital Goods & Manufacturing,machine|paper|products
8143.0200,NCO,Envelope Maker - Machine,Paper Products Machine Operators,Capital Goods & Manufacturing,envelope maker|machine|paper|products
8143.0300,NCO,Bag Maker - Machine,Paper Products Machine Operators,Capital Goods & Manufacturing,bag maker|machine|paper|products
8143.0400,NCO,Flower Maker - Paper,Paper Products Machine Operators,Capital Goods & Manufacturing,flower maker|machine|paper|products
9329.0300,NCO,Salt Reclamation Worker,Manufacturing Labourers Not Elsewhere Classified,Capital Goods & Manufacturing,labourers|manufacturing
9329.0701,NCO,Accessory Fitter,Manufacturing Labourers Not Elsewhere Classified,Capital Goods & Manufacturing,labourers|manufacturing
7111.9900,NCO,Builders; Traditional Materials; Other,House Builders,Construction,builders|house
7112.0100,NCO,Stone Mason,Bricklayers and Related Workers,Construction,bricklayers
7112.0200,NCO,Brick Layerer; Construction,Bricklayers and Related Workers,Construction,bricklayers
7113.0400,NCO,Stone Carver/ Stone Cutter/ Stone Dresser/ Stone Polisher,Stonemasons; Stone Cutters; Splitters and Carvers,Construction,carvers|cutters|splitters|stone|stone carver|stone cutter|stone dresser|stone polisher
7114.9900,NCO,Concrete Placers; Concrete Finishers and Related Workers; Other,Concrete Placers; Concrete Finishers and Related Workers,Construction,concrete|finishers|placers
7115.0100,NCO,Carpenter - General,Carpenters and Joiners,Construction,carpenter|carpenters|general|joiners
7115.0201,NCO,Shuttering Carpenter,Carpenters and Joiners,Construction,carpenters|joiners
7119.0200,NCO,White Washer,Building Frame and Related Traders,Construction,building|frame|traders
7121.9900,NCO,Roofers; Other,Roofers,Construction,roofers
7122.0100,NCO,Tile Setter,Floor Layers and Tile Setters,Construction,floor|layers|setters
7123.0100,NCO,Plasterer,Plasterers,Construction,plasterers
7124.0200,NCO,Acoustical Insulator,Insulation Workers,Construction,insulation
7125.0300,NCO,Picture Framer,Glaziers,Construction,glaziers
7126.0101,NCO,Plumber/ Sanitation Worker,Plumbers and Pipe Fitters,Construction,plumber|plumbers|sanitation worker
7127.0100,NCO,Mechanic; Refrigeration and Air- Conditioning,Air-Conditioning and Refrigeration Mechanics,Construction,air-conditioning|conditioning|mechanic, refrigeration and air|mechanics|refrigeration
7131.0101,NCO,Assistant Painter & Decorator,Painters and Related Workers,Construction,painters
7132.0100,NCO,Painter - General,Spray Painters and Varnishers,Construction,general|painter|painters|spray|varnishers
7214.0800,NCO,Fitter - Construction,Structural Metal Preparers and Erectors,Construction,construction|erectors|fitter|metal|preparers|structural
7412.0801,NCO,Maintenance Assistant Helper,Electrical Mechanics and Fitters,Construction,electrical|mechanics
7213.0101,NCO,Sheet Metal Worker; General/ Sheet Metal Worker ? Hand Tools and Manually Operated,Sheet Metal Workers,Capital Goods & Manufacturing,metal|sheet|sheet metal worker ? hand tools and manually operated|sheet metal worker, general
7215.0101,NCO,Rigger - Rigging of Heavy Material,Riggers and Cable Splicers,Capital Goods & Manufacturing,cable|rigger|riggers|rigging of heavy material|splicers
7221.0100,NCO,Blacksmith/ Ironsmith,Blacksmiths; Hammersmith and Forging Press Workers,Capital Goods & Manufacturing,blacksmith|blacksmiths|forging|hammersmith|ironsmith|press
7222.0500,NCO,Die Maker,Tool Makers and Related Workers,Capital Goods & Manufacturing,
7222.0700,NCO,Locksmith,Tool Makers and Related Workers,Capital Goods & Manufacturing,
7223.6002,NCO,CNC Operator - Turning,Metal Working Machine Tool Setters and Operators,Capital Goods & Manufacturing,cnc operator|machine|metal|setters|turning|working
