code,code_type,level,label,section,division,synonyms
A,NIC,section,Agriculture; forestry and fishing,A,,
01,NIC,division,Crop and animal production; hunting and related service activities,A,01,animal|hunting|production
011,NIC,group,Growing of non-perennial crops,A,01,animal|crops|growing|hunting|perennial|production
012,NIC,group,Growing of perennial crops,A,01,animal|crops|growing|hunting|perennial|production
013,NIC,group,Plant propagation,A,01,animal|hunting|plant|production|propagation
014,NIC,group,Animal production,A,01,animal|hunting|production
015,NIC,group,Mixed farming,A,01,animal|farming|hunting|mixed|production
016,NIC,group,Support activities to agriculture and post-harvest crop activities,A,01,agriculture|animal|harvest|hunting|production|support
017,NIC,group,Hunting; trapping and related service activities,A,01,animal|hunting|production|trapping
02,NIC,division,Forestry and logging,A,02,forestry|logging
021,NIC,group,Silviculture and other forestry activities,A,02,forestry|logging|silviculture
022,NIC,group,Logging,A,02,forestry|logging
023,NIC,group,Gathering of non-wood forest products,A,02,forest|forestry|gathering|logging|products
024,NIC,group,Support services to forestry,A,02,forestry|logging|services|support
03,NIC,division,Fishing and aquaculture,A,03,aquaculture|fishing
031,NIC,group,Fishing,A,03,aquaculture|fishing
032,NIC,group,Aquaculture,A,03,aquaculture|fishing
B,NIC,section,Mining and quarrying,B,,
05,NIC,division,Mining of coal and lignite,B,05,lignite|mining
051,NIC,group,Mining of hard coal,B,05,lignite|mining
052,NIC,group,Mining of lignite,B,05,lignite|mining
06,NIC,division,Extraction of crude petroleum and natural gas,B,06,crude|extraction|natural|petroleum
061,NIC,group,Extraction of crude petroleum,B,06,crude|extraction|natural|petroleum
062,NIC,group,Extraction of natural gas,B,06,crude|extraction|natural|petroleum
07,NIC,division,Mining of metal ores,B,07,metal|mining
071,NIC,group,Mining of iron ores,B,07,metal|mining
072,NIC,group,Mining of non-ferrous metal ores,B,07,ferrous|metal|mining
08,NIC,division,Other mining and quarrying,B,08,mining|quarrying
081,NIC,group,Quarrying of stone; sand and clay,B,08,mining|quarrying|stone
089,NIC,group,Mining and quarrying n.e.c.,B,08,mining|n.e.c|quarrying
09,NIC,division,Mining support service activities,B,09,mining|support
091,NIC,group,Support activities for petroleum and natural gas mining,B,09,mining|natural|petroleum|support
099,NIC,group,Support activities for other mining and quarrying,B,09,mining|quarrying|support
C,NIC,section,Manufacturing,C,,
10,NIC,division,Manufacture of food products,C,10,manufacture|products
101,NIC,group,Processing and preserving of meat,C,10,manufacture|preserving|processing|products
102,NIC,group,Processing and preserving of fish; crustaceans and molluscs,C,10,crustaceans|manufacture|molluscs|preserving|processing|products
103,NIC,group,Processing and preserving of fruit and vegetables,C,10,fruit|manufacture|preserving|processing|products|vegetables
104,NIC,group,Manufacture of vegetable and animal oils and fats,C,10,animal|manufacture|products|vegetable
105,NIC,group,Manufacture of dairy products,C,10,dairy|manufacture|products
106,NIC,group,Manufacture of grain mill products; starches and starch products,C,10,grain|manufacture|products|starch|starches
107,NIC,group,Manufacture of other food products,C,10,manufacture|products
108,NIC,group,Manufacture of prepared animal feeds,C,10,animal|feeds|manufacture|prepared|products
11,NIC,division,Manufacture of beverages,C,11,beverages|manufacture
110,NIC,group,Manufacture of beverages,C,11,beverages|manufacture
12,NIC,division,Manufacture of tobacco products,C,12,manufacture|products|tobacco
120,NIC,group,Manufacture of tobacco products,C,12,manufacture|products|tobacco
13,NIC,division,Manufacture of textiles,C,13,manufacture|textiles
131,NIC,group,Spinning; weaving and finishing of textiles,C,13,finishing|manufacture|spinning|textiles|weaving
139,NIC,group,Manufacture of other textiles,C,13,manufacture|textiles
14,NIC,division,Manufacture of wearing apparel,C,14,apparel|manufacture|wearing
141,NIC,group,Manufacture of wearing apparel; except fur apparel,C,14,apparel|except|manufacture|wearing
142,NIC,group,Manufacture of articles of fur,C,14,apparel|articles|manufacture|wearing
143,NIC,group,Manufacture of knitted and crocheted apparel,C,14,apparel|crocheted|knitted|manufacture|wearing
15,NIC,division,Manufacture of leather and related products,C,15,leather|manufacture|products
151,NIC,group,Tanning and dressing of leather; manufacture of luggage; handbags; saddlery and harness; dressing and dyeing of fur,C,15,dressing|dyeing|handbags|harness|leather|luggage|manufacture|products
152,NIC,group,Manufacture of footwear,C,15,footwear|leather|manufacture|products
